,citys,latlong,spots,provinces
951,济宁,"116.996684,35.581252",孔子六艺城,山东
952,枣庄,"117.730563,34.557838",台儿庄大战纪念馆,山东
953,济宁,"117.217165,35.505041",曲阜尼山圣境景区,山东
954,聊城,"116.262752,36.341984",中国阿胶博物馆,山东
955,青岛,"120.242640,35.955119",青岛金沙滩景区,山东
956,烟台,"120.729472,37.943176",长岛,山东
957,潍坊,"118.586780,36.514507",临朐揽翠湖天沐温泉,山东
958,济南,"117.537949,36.715248",百脉泉公园,山东
959,威海,"122.102644,37.259509",汤泊温泉度假区,山东
960,烟台,"121.077172,37.554395",磁山温泉,山东
961,济南,"117.115792,36.483398",济南金象山乐园,山东
962,威海,"122.630425,37.406701",西霞口,山东
963,东营,"118.424519,37.050826",广饶孙子文化旅游度假区,山东
964,烟台,"121.405619,37.541655",烟台张裕酒文化博物馆,山东
965,烟台,"120.822498,37.412019",艾山温泉度假村,山东
966,潍坊,"118.256427,36.521804",黄花溪,山东
967,临沂,"118.451382,35.707825",萤火虫水洞,山东
968,德州,"116.115845,37.041670",夏津黄河故道森林公园,山东
969,潍坊,"119.244444,36.437356",青云山民俗游乐园,山东
970,青岛,"120.652022,36.429707",天泰温泉,山东
971,淄博,"118.016160,36.628631",聊斋城,山东
972,泰安,"117.677871,36.047880",新泰莲花山,山东
973,临沂,"118.696844,35.791223",雪山彩虹谷,山东
974,青岛,"120.508418,36.095585",石老人观光园,山东
975,济南,"117.135272,37.264376",商河温泉,山东
976,济南,"117.210501,36.430462",济南跑马岭生态休闲度假区,山东
977,烟台,"121.400209,37.547370",烟台山,山东
978,枣庄,"117.544413,34.770500",青檀寺,山东
979,济南,"117.138132,36.419535",九顶塔中华民俗欢乐园,山东
980,临沂,"118.360974,35.949321",天上王城,山东
981,青岛,"120.393326,36.059994",奥林匹克帆船中心,山东
982,青岛,"120.165396,35.980151",青岛滨海学院世界动物标本艺术馆,山东
983,枣庄,"116.849892,35.123797",微山湖湿地红荷旅游区,山东
984,淄博,"117.850000,36.481058",鲁山国家森林公园,山东
985,潍坊,"119.125336,36.656691",金宝乐园,山东
986,潍坊,"118.747164,37.148889",林海生态博览园,山东
987,日照,"119.427669,35.282329",刘家湾赶海园,山东
988,滨州,"117.967870,37.479518",杜受田故居,山东
989,日照,"119.395609,35.681273",五莲山,山东
990,枣庄,"117.152652,35.039751",新盈泰温泉度假村,山东
991,潍坊,"118.474257,36.670445",潍坊云门山,山东
992,菏泽,"115.931935,35.585076",水浒好汉城,山东
993,临沂,"118.037837,35.414112",云瀑洞天,山东
994,临沂,"117.843091,35.584527",明光寺佛教文化景区,山东
995,枣庄,"117.609880,34.775589",仙坛山温泉小镇,山东
996,烟台,"120.837725,37.747295",中粮君顶酒庄,山东
997,淄博,"117.855171,36.485981",原山,山东
998,济宁,"116.973045,35.389268",孟庙,山东
999,临沂,"118.035226,34.844709",兰陵国家农业公园,山东
1000,烟台,"121.611335,37.454987",养马岛旅游度假区,山东
1001,淄博,"118.387255,36.835929",中国古车博物馆,山东
1002,青岛,"119.909211,35.655089",琅琊台风景区,山东
1003,枣庄,"117.502451,35.110428",翼云石头部落旅游度假区,山东
1004,泰安,"117.243469,36.143577",泰山宝泰隆旅游度假区,山东
1005,枣庄,"117.544021,34.779137",冠世榴园,山东
1006,济宁,"116.608133,35.429987",万紫千红生态养生旅游度假区,山东
1007,济宁,"116.234900,35.175800",羊山风景区,山东
1008,淄博,"118.260458,36.109600",牛郎织女景区,山东
1009,烟台,"120.402222,37.366391",黄金文化旅游区,山东
1010,聊城,"116.251500,36.337054",东阿药王山景区,山东
1011,德州,"116.394900,37.425908",太阳谷,山东
1012,潍坊,"119.106744,36.667903",潍坊白浪绿洲湿地公园,山东
1013,泰安,"117.123330,36.186900",泰山花样年华景区,山东
1014,潍坊,"119.218151,36.759200",杨家埠民间艺术大观园,山东
1015,聊城,"115.957689,36.450442",东昌湖风景区,山东
1016,淄博,"118.039841,36.409786",开元溶洞,山东
1017,莱芜,"117.446801,36.431914",房干生态旅游区,山东
1018,潍坊,"118.817590,36.857371",高科技蔬菜示范园,山东
1019,烟台,"120.829673,37.300783",张裕国际葡萄酒城旅游区,山东
1020,潍坊,"119.401689,36.311360",景芝酒之城景区,山东
1021,聊城,"115.795840,36.130290",景阳冈,山东
1022,潍坊,"119.229043,36.427820",齐鲁酒地,山东
1023,青岛,"120.518800,36.160477",华东百利酒庄,山东
1024,滨州,"117.929984,37.274503",山东黄河岛,山东
1025,潍坊,"118.290787,36.553078",青州泰和旅游区,山东
1026,烟台,"121.222299,36.866042",招虎山森林公园,山东
1027,临沂,"118.626783,35.748871",东方瑞海国际温泉度假村,山东
1028,淄博,"118.072244,36.266145",沂源溶洞群,山东
1029,泰安,"117.237187,36.040376",徂徕山国家森林公园,山东
1030,青岛,"120.428296,36.161589",青岛海滨,山东
1031,临沂,"117.619903,35.518111",山东省天宇自然博物馆,山东
1032,青岛,"120.399233,36.297178",青岛城阳宝龙乐园,山东
1033,德州,"117.380806,37.814542",庆云县海岛金山寺景区,山东
1034,潍坊,"118.801947,36.862623",寿光市生态农业观光园,山东
1035,临沂,"118.770935,35.338615",八路军115师司令部旧址,山东
1036,枣庄,"117.461457,35.099650",山亭月亮湾旅游区,山东
1037,枣庄,"117.166416,35.076241",荆河公园,山东
1038,济宁,"116.997600,35.581275",孔子故里园,山东
1039,枣庄,"117.532936,34.845676",鲁南水城,山东
1040,潍坊,"118.838852,36.721016",昌乐中国宝石城旅游区,山东
1041,莱芜,"117.552948,36.454908",雪野农博园,山东
1042,莱芜,"117.692694,36.217033",莱芜战役纪念馆,山东
1043,威海,"121.661290,36.829586",乳山市银滩旅游度假区,山东
1044,菏泽,"115.719772,35.638923",孙膑旅游城亿城寺,山东
1045,潍坊,"119.468866,36.802996",昌邑市绿博园景区,山东
1046,青岛,"120.083111,36.250288",青岛少海风景区,山东
1047,聊城,"115.781066,36.112444",狮子楼,山东
1048,潍坊,"119.404708,35.902486",常山文化博物苑,山东
1049,枣庄,"117.207443,35.109289",滕州凤凰乐园,山东
1050,烟台,"120.025786,37.155039",大基山,山东
1051,淄博,"118.060729,36.265925",溶洞群,山东
1052,德州,"116.374966,37.437487",董子园风景区,山东
1053,临沂,"118.389934,35.039322",皇山东夷文化园,山东
1054,泰安,"116.208935,35.991311",东平湖,山东
1055,烟台,"121.204107,36.696127",海阳旅游度假区,山东
1056,枣庄,"117.472858,35.091922",汉诺庄园温泉,山东
1057,滨州,"117.530796,37.471276",孙武古城旅游区,山东
1058,济宁,"116.976415,35.490251",孟子故里,山东
1059,滨州,"118.080270,37.694890",冬枣生态旅游区,山东
1060,潍坊,"118.256766,36.541958",天缘谷,山东
1061,晋中,"111.873827,36.896354",山西王家大院,山西
1062,太原,"112.442414,37.708680",山西晋祠博物馆,山西
1063,大同,"113.715781,39.661139",悬空寺,山西
1064,运城,"110.849258,34.908996",解州关帝庙,山西
1065,大同,"113.295084,40.092573",大同华严寺,山西
1066,长治,"113.484887,35.928085",太行山大峡谷,山西
1067,吕梁,"111.900678,37.337625",汾酒文化景区,山西
1068,晋中,"112.637771,37.545327",常家庄园,山西
1069,运城,"110.724286,35.289494",李家大院,山西
1070,临汾,"111.496612,36.051963",尧庙,山西
1071,阳泉,"113.373675,38.212332",藏山风景区,山西
1072,临汾,"111.021022,35.753507",云丘山旅游风景区,山西
1073,晋城,"112.441107,35.255459",蟒河生态旅游区,山西
1074,吕梁,"111.375662,37.781275",北武当山,山西
1075,运城,"110.333646,34.845140",普救寺,山西
1076,太原,"112.583295,37.910688",太原动物园,山西
1077,临汾,"111.488055,36.052045",华门,山西
1078,太原,"112.528511,37.857647",中国煤炭博物馆,山西
1079,运城,"110.270695,34.839602",鹳雀楼,山西
1080,太原,"112.445009,37.781616",蒙山大佛,山西
1081,太原,"112.596062,37.878485",东湖醋园,山西
1082,晋城,"113.585647,35.692899",王莽岭风景区,山西
1083,运城,"110.593905,34.827310",永济五老峰,山西
1084,朔州,"113.191099,39.554247",应县木塔,山西
1085,运城,"111.004955,34.984274",中国死海运城盐湖,山西
1086,忻州,"112.077362,38.831242",芦芽山,山西
1087,运城,"110.549957,34.623287",永乐宫,山西
1088,忻州,"113.110274,38.589558",阎锡山故居,山西
1089,晋城,"112.149934,35.558114",柳氏民居,山西
1090,长治,"112.856157,36.833327",八路军太行纪念馆,山西
1091,晋中,"112.131559,37.171464",双林寺,山西
1092,晋中,"112.784961,37.842170",乌金山欢乐谷,山西
1093,朔州,"112.466964,39.989022",右玉县旅游区,山西
1094,晋中,"113.419884,36.989702",太行龙泉旅游区,山西
1095,晋城,"112.995833,35.457680",青莲寺,山西
1096,阳泉,"113.556600,37.894200",桃林沟欢乐世界,山西
1097,运城,"112.013576,35.335836",垣曲黄河·历山风景区,山西
1098,晋中,"112.773591,37.848769",乌金山国家森林公园,山西
1099,太原,"112.533866,37.909094",太原市森林公园,山西
1100,长治,"113.383067,36.794563",黄崖洞,山西
1101,运城,"110.916073,35.114387",舜帝陵,山西
1102,忻州,"112.098253,38.820067",汾河源头,山西
1103,晋城,"112.021259,35.442311",沁水历山国家原始森林公园,山西
1104,晋城,"112.841193,35.896099",丹朱岭旅游区,山西
1105,晋中,"112.276882,37.285935",镇国寺,山西
1106,太原,"112.537926,37.893700",汾河景区,山西
1107,吕梁,"111.550155,37.876276",庞泉沟国家森林公园,山西
1108,长治,"113.508119,36.347680",太行水乡,山西
1109,太原,"112.548879,37.870590",太原九龙国际文化生态园,山西
1110,太原,"112.559113,37.858574",九龙山庄,山西
1111,运城,"110.704041,34.865635",中华神医扁鹊庙,山西
1112,临汾,"111.947278,36.210849",三合牡丹景区,山西
1113,晋中,"111.922208,36.868380",介子推庙,山西
1114,南京,"118.797403,32.044221",南京总统府,江苏
1115,常州,"120.051520,31.500158",常州环球动漫嬉戏谷,江苏
1116,南京,"118.950747,32.149907",栖霞山,江苏
1117,苏州,"120.602821,31.309821",狮子林,江苏
1118,南京,"118.743397,32.088622",南京阅江楼,江苏
1119,南京,"118.757164,31.908758",牛首山文化旅游区,江苏
1120,苏州,"120.504600,31.254339",木渎古镇,江苏
1121,南京,"118.849283,32.048063",钟山风景区,江苏
1122,苏州,"120.601198,31.318481",七里山塘,江苏
1123,无锡,"120.235920,31.583575",无锡动物园·太湖欢乐园,江苏
1124,无锡,"119.718264,31.182767",宜兴竹海,江苏
1125,苏州,"120.864543,31.266432",甪直古镇,江苏
1126,南京,"118.796877,32.060255",南京大屠杀遇难同胞纪念馆,江苏
1127,扬州,"119.443762,32.399009",个园,江苏
1128,苏州,"120.633956,31.297611",网师园,江苏
1129,苏州,"120.781891,31.406205",重元寺,江苏
1130,苏州,"120.444483,31.218929",苏州太湖国家湿地公园,江苏
1131,苏州,"120.496020,31.299923",白马涧,江苏
1132,扬州,"119.329455,33.240808",何园,江苏
1133,苏州,"120.899876,31.176499",锦溪古镇,江苏
1134,苏州,"120.486529,31.361676",阳山温泉度假山庄,江苏
1135,徐州,"118.072640,34.176728",窑湾古镇,江苏
1136,南京,"118.798908,32.072357",玄武湖公园,江苏
1137,无锡,"119.851000,31.258125",蠡园,江苏
1138,无锡,"119.669598,31.298874",善卷洞,江苏
1139,镇江,"119.842340,32.222320",宝华山国家森林公园,江苏
1140,镇江,"119.440393,32.188465",南山,江苏
1141,南京,"118.773124,32.032741",朝天宫,江苏
1142,扬州,"119.488737,32.433163",茱萸湾,江苏
1143,南京,"118.781845,31.997838",雨花台,江苏
1144,泰州,"119.927444,32.481677",泰州凤城河景区,江苏
1145,扬州,"119.412685,32.420057",大明寺,江苏
1146,淮安,"119.145770,33.510783",淮安府署,江苏
1147,苏州,"121.002311,31.265480",千灯古镇,江苏
1148,无锡,"120.295938,31.571049",薛福成故居,江苏
1149,苏州,"120.394318,31.929821",张家港市香山风景区,江苏
1150,泰州,"120.098342,32.648716",溱潼古镇,江苏
1151,常州,"119.969437,31.774261",天宁禅寺,江苏
1152,镇江,"119.430522,32.214506",西津渡历史文化街,江苏
1153,无锡,"120.226094,31.556382",无锡梅园,江苏
1154,南通,"120.570074,32.395301",水绘园,江苏
1155,镇江,"119.479579,32.103768",镇江中国醋文化博物馆,江苏
1156,泰州,"119.731475,33.030652",李中水上森林公园,江苏
1157,淮安,"119.144877,33.507691",中国漕运博物馆,江苏
1158,宿迁,"118.301921,33.937605",项王故里,江苏
1159,苏州,"120.877648,31.705418",梅李聚沙园,江苏
1160,苏州,"120.405267,31.089668",东山雨花胜境,江苏
1161,宿迁,"118.316681,33.236490",泗洪洪泽湖湿地景区,江苏
1162,无锡,"120.308540,31.576928",东林书院,江苏
1163,苏州,"120.618708,31.315142",静思园,江苏
1164,扬州,"119.348015,32.882648",高邮湖芦苇荡湿地公园,江苏
1165,苏州,"120.544241,31.290641",苏州乐园,江苏
1166,常州,"119.973284,31.774645",红梅公园,江苏
1167,徐州,"117.222457,34.246077",汉文化景区,江苏
1168,连云港,"119.446370,34.766755",连岛,江苏
1169,南通,"120.777094,32.077703",狼山,江苏
1170,徐州,"117.268799,34.295383",蟠桃山佛教文化景区,江苏
1171,南京,"118.870084,31.318402",高淳老街,江苏
1172,苏州,"120.717859,31.842379",苏州江南农耕文化园,江苏
1173,苏州,"120.848142,31.113981",震泽古镇,江苏
1174,盐城,"120.834390,32.872455",黄海森林公园,江苏
1175,连云港,"119.236718,34.317138",大伊山,江苏
1176,泰州,"120.067903,32.612581",溱湖湿地农业生态园,江苏
1177,扬州,"119.371798,32.391085",扬州博物馆,江苏
1178,盐城,"119.855714,33.226678",大纵湖,江苏
1179,淮安,"119.138706,33.527920",吴承恩故居,江苏
1180,南京,"118.824928,32.041314",南京博物院,江苏
1181,无锡,"120.508123,31.492743",鸿山遗址博物馆,江苏
1182,苏州,"120.542009,31.218350",旺山景区,江苏
1183,淮安,"119.235756,32.857828",荷花荡,江苏
1184,泰州,"119.877780,32.303048",口岸雕花楼景区（柴墟古镇）,江苏
1185,南京,"119.001861,32.062590",阳山碑材,江苏
1186,淮安,"119.150375,33.515870",周恩来纪念馆,江苏
1187,连云港,"119.147292,34.548029",桃花涧,江苏
1188,徐州,"117.197578,34.233373",淮海战役烈士纪念塔园林,江苏
1189,苏州,"120.372499,31.288212",光福景区,江苏
1190,无锡,"119.733346,31.184326",陶祖圣境,江苏
1191,苏州,"120.634930,31.309229",平江历史文化街区,江苏
1192,淮安,"118.490492,32.739650",铁山寺国家森林公园,江苏
1193,南通,"120.869946,32.011221",南通博物苑,江苏
1194,淮安,"119.090590,33.611040",古淮河文化生态景区,江苏
1195,淮安,"119.038150,33.593210",里运河文化长廊,江苏
1196,常州,"119.806454,31.686656",常州花博会,江苏
1197,徐州,"117.190418,34.240524",彭祖园,江苏
1198,南京,"118.801560,32.042266",梅园新村纪念馆,江苏
1199,南京,"118.784854,31.986390",南京科技馆,江苏
1200,苏州,"120.967889,31.504668",蒋巷村,江苏
1201,连云港,"119.175095,34.565797",孔望山,江苏
1202,盐城,"120.161053,33.389142",盐城新四军纪念馆,江苏
1203,南京,"118.779111,32.003955",雨花台烈士陵园,江苏
1204,苏州,"120.713726,31.315399",苏州摩天轮乐园,江苏
1205,苏州,"120.292627,31.079930",太湖西山岛,江苏
1206,苏州,"120.472521,31.329513",苏州乐园森林水世界,江苏
1207,苏州,"120.344494,31.334562",中国刺绣艺术馆,江苏
1208,苏州,"120.406653,31.085064",东山镇,江苏
1209,徐州,"117.179288,34.254215",云龙公园,江苏
1210,盐城,"120.686455,33.241831",大丰知青农场,江苏
1211,徐州,"117.176020,34.240580",汉画像艺术博物馆,江苏
1212,南通,"120.858280,32.023817",中国珠算博物馆,江苏
1213,徐州,"118.346557,34.191463",马陵山,江苏
1214,连云港,"118.856840,34.891979",抗日山烈士陵园,江苏
1215,盐城,"119.774508,33.737867",金沙湖旅游度假区,江苏
1216,无锡,"120.300812,31.576264",崇安寺,江苏
1217,盐城,"120.285796,32.840148",董永七仙女文化园,江苏
1218,苏州,"120.949646,31.390798",昆山亭林园,江苏
1219,连云港,"119.446370,34.766755",连岛海底世界,江苏
1220,常州,"119.974065,31.808293",常州博物馆,江苏
1221,常州,"119.898969,31.797283",常州市青枫公园,江苏
1222,镇江,"119.431945,32.213364",镇江博物馆,江苏
1223,无锡,"120.292501,31.683002",吴文化公园,江苏
1224,宿迁,"118.257452,33.251378",泗洪洪泽湖,江苏
1225,宿迁,"118.298837,33.977315",雪枫公园真人CS,江苏
1226,常州,"119.952760,31.776643",常州市南大街商贸休闲旅游区,江苏
1227,淮安,"119.142169,33.506531",周恩来故居,江苏
1228,无锡,"120.305869,31.549618",无锡博物院,江苏
1229,淮安,"119.011871,33.612316",淮安市博物馆,江苏
1230,苏州,"120.240158,31.091751",凤凰山,江苏
1231,连云港,"118.787284,34.529337",东海国际水晶珠宝城,江苏
1232,苏州,"120.944054,31.285957",良渚文化遗址,江苏
1233,淮安,"118.749546,32.886608",黄花塘新四军军部纪念馆,江苏
1234,苏州,"120.746928,31.619478",常熟服装城购物旅游区,江苏
1235,南通,"120.592052,32.386146",红十四军纪念馆,江苏
1236,扬州,"119.374666,32.384384",京华城,江苏
1237,无锡,"119.799901,31.374529",团氿,江苏
1238,徐州,"116.749783,34.492896",梁寨渊子湖,江苏
1239,无锡,"120.143183,31.908807",滨江要塞,江苏
1240,金华,"120.311699,29.139727",清明上河图,浙江
1241,杭州,"120.244974,30.160736",杭州乐园,浙江
1242,湖州,"119.872252,30.609478",莫干山,浙江
1243,杭州,"119.984498,30.152314",杭州野生动物世界,浙江
1244,杭州,"120.133069,30.212224",杭州动物园,浙江
1245,杭州,"120.227804,30.142627",杭州极地海洋世界,浙江
1246,宁波,"121.838561,29.288130",象山影视城,浙江
1247,温州,"120.684611,27.907077",温州乐园,浙江
1248,宁波,"121.851270,29.895427",凤凰山海港乐园,浙江
1249,杭州,"118.996000,30.064600",大明山,浙江
1250,绍兴,"120.473715,30.048765",柯岩风景区,浙江
1251,温州,"120.740879,27.828701",江心屿,浙江
1252,湖州,"119.657890,30.671863",中南百草原景区,浙江
1253,金华,"120.316715,29.138282",横店梦幻谷,浙江
1254,杭州,"119.539405,29.886439",瑶琳仙境,浙江
1255,杭州,"119.293748,29.302459",大慈岩,浙江
1256,杭州,"120.183984,30.477376",龙门古镇,浙江
1257,宁波,"121.674396,29.803857",雅戈尔动物园,浙江
1258,宁波,"121.313271,29.768306",宁波五龙潭,浙江
1259,温州,"120.966235,28.105941",楠溪江,浙江
1260,宁波,"121.124384,29.781931",丹山赤水,浙江
1261,绍兴,"120.052098,29.707787",五泄,浙江
1262,宁波,"121.542809,30.031684",宁波九龙湖,浙江
1263,绍兴,"120.476410,30.054895",绍兴乔波冰雪世界,浙江
1264,宁波,"121.878989,29.471539",松兰山,浙江
1265,绍兴,"120.402676,30.019543",大香林,浙江
1266,舟山,"122.273713,29.834787",舟山桃花岛,浙江
1267,杭州,"119.128021,30.216926",浙西大峡谷,浙江
1268,金华,"120.749482,29.205134",十八涡景区,浙江
1269,宁波,"121.577392,29.802897",天宫庄园,浙江
1270,丽水,"119.028011,28.473207",千佛山景区,浙江
1271,金华,"119.297373,29.248180",诸葛八卦村,浙江
1272,金华,"119.624555,29.199008",金华双龙风景旅游区,浙江
1273,宁波,"121.725405,29.959777",招宝山,浙江
1274,台州,"121.117084,28.853872",台州府城文化旅游区（江南长城）,浙江
1275,宁波,"121.944469,29.211455",石浦渔港古城,浙江
1276,嘉兴,"120.851497,30.668248",梅花洲景区,浙江
1277,宁波,"121.959720,29.237900",中国渔村,浙江
1278,丽水,"119.096706,28.378927",南尖岩,浙江
1279,宁波,"121.505600,30.051263",达蓬山旅游度假区,浙江
1280,宁波,"121.366313,29.939439",天下玉苑,浙江
1281,湖州,"119.851800,30.628125",江南天池旅游区,浙江
1282,绍兴,"120.900585,29.492215",新昌大佛寺,浙江
1283,台州,"121.586819,29.142537",蛇蟠岛,浙江
1284,金华,"119.539239,29.204086",地下长河,浙江
1285,杭州,"120.218348,30.137074",湘湖旅游度假区,浙江
1286,金华,"120.012465,29.480504",浦江江南第一家,浙江
1287,杭州,"119.533040,29.925715",垂云通天河,浙江
1288,湖州,"119.660781,30.590756",竹子博览园,浙江
1289,杭州,"120.199475,30.102003",杭州东方文化园,浙江
1290,绍兴,"120.239533,29.699511",西施故里,浙江
1291,湖州,"119.680353,30.638675",安吉江南天池,浙江
1292,杭州,"119.090209,29.378936",建德灵栖洞,浙江
1293,杭州,"120.217735,30.441991",超山,浙江
1294,嘉兴,"120.946427,30.516355",绮园景区,浙江
1295,丽水,"119.555821,28.099768",云和湖仙宫,浙江
1296,宁波,"121.836957,29.853993",九峰山网岙景区,浙江
1297,宁波,"121.583009,29.853123",宁波海洋世界,浙江
1298,杭州,"119.925685,29.869657",富阳永安山滑翔基地,浙江
1299,宁波,"121.348350,29.388023",宁海森林温泉,浙江
1300,绍兴,"120.639775,29.995562",绍兴东湖,浙江
1301,衢州,"118.494504,29.002721",三衢石林风景区,浙江
1302,舟山,"122.386159,29.904998",朱家尖,浙江
1303,金华,"119.521571,28.671679",武义牛头山国家森林公园,浙江
1304,杭州,"119.450519,30.309554",天目山,浙江
1305,宁波,"121.484666,29.908112",梁祝文化公园,浙江
1306,宁波,"121.352841,29.225147",前童古镇,浙江
1307,杭州,"119.710887,30.423849",山沟沟,浙江
1308,丽水,"119.555821,28.099768",云和梯田,浙江
1309,丽水,"120.115192,28.699762",仙都,浙江
1310,杭州,"119.828675,30.405500",双溪竹海漂流,浙江
1311,台州,"121.447904,28.444700",长屿硐天,浙江
1312,衢州,"118.962705,28.723509",天脊龙门,浙江
1313,嘉兴,"120.866308,30.383677",南北湖,浙江
1314,湖州,"119.510484,30.446717",浙北大峡谷,浙江
1315,衢州,"118.981339,28.760929",药王山,浙江
1316,衢州,"119.190643,29.065008",龙游石窟,浙江
1317,嘉兴,"120.551445,30.406115",盐官观潮景区,浙江
1318,宁波,"121.504115,29.926000",保国寺,浙江
1319,台州,"121.025944,29.166312",天台山赤城山,浙江
1320,金华,"119.710727,29.166393",锦林佛手文化园,浙江
1321,宁波,"121.862341,29.840393",宁波九峰山,浙江
1322,台州,"121.034962,29.144627",济公故居,浙江
1323,温州,"120.966235,28.105941",楠溪江龙瀑仙洞,浙江
1324,杭州,"119.658961,29.698414",富春江小三峡,浙江
1325,台州,"121.414361,28.660734",台州海洋世界,浙江
1326,丽水,"120.065677,28.644577",鼎湖峰,浙江
1327,温州,"119.918553,27.877160",文成龙麒源,浙江
1328,宁波,"121.445188,29.956344",慈城冯俞宅,浙江
1329,杭州,"119.520825,30.362200",东天目山,浙江
1330,宁波,"121.405631,30.018752",绿野山庄,浙江
1331,绍兴,"120.609963,29.970917",会稽山,浙江
1332,湖州,"119.595871,30.469901",江南天池滑雪场,浙江
1333,丽水,"119.718319,28.515081",东西岩,浙江
1334,湖州,"120.110715,30.943020",湖州太湖旅游度假区,浙江
1335,衢州,"118.584666,28.572864",清漾村,浙江
1336,杭州,"119.727624,30.401524",彩虹谷,浙江
1337,宁波,"121.753707,29.193822",伍山石窟度假区,浙江
1338,杭州,"119.635613,30.010800",富春桃源,浙江
1339,绍兴,"120.604414,29.612554",百丈飞瀑,浙江
1340,丽水,"119.427499,28.613446",遂昌金矿国家矿山公园,浙江
1341,杭州,"119.249230,30.120777",柳溪江,浙江
1342,绍兴,"120.493666,29.928862",绍兴兰亭,浙江
1343,金华,"120.283200,29.116627",横店国防科技园,浙江
1344,杭州,"119.544274,29.547598",建德七里扬帆景区,浙江
1345,丽水,"120.111753,28.277340",石门洞,浙江
1346,嘉兴,"120.545180,30.399915",观潮胜地公园,浙江
1347,丽水,"119.172430,27.892069",丽水龙泉山,浙江
1348,衢州,"118.481337,28.299554",浮盖山,浙江
1349,杭州,"119.648435,29.696460",严子陵钓台,浙江
1350,湖州,"119.735240,30.927902",中国扬子鳄村,浙江
1351,绍兴,"120.402676,30.019543",大香林•兜率天景区,浙江
1352,台州,"121.083865,29.252403",天台山华顶国家森林公园,浙江
1353,金华,"119.646386,29.072304",东阳花园,浙江
1354,宁波,"121.188930,30.021872",聪明山水景区,浙江
1355,丽水,"120.327081,28.065828",千丝岩,浙江
1356,温州,"120.647889,28.022972",江心东园,浙江
1357,台州,"120.975076,29.135300",天台天湖风景区,浙江
1358,丽水,"120.068402,28.710258",黄龙山,浙江
1359,金华,"119.917150,29.508628",仙华山景区,浙江
1360,金华,"119.584234,28.669106",方岩山景区,浙江
1361,宁波,"121.545731,29.813751",宁波博物馆,浙江
1362,嘉兴,"120.667587,30.505363",中国皮革城,浙江
1363,杭州,"120.169322,30.240786",清河坊,浙江
1364,绍兴,"120.580232,30.029752",绍兴嵊州南山,浙江
1365,台州,"120.530088,28.600862",淡竹原始森林,浙江
1366,丽水,"119.563640,27.950504",大均畲乡之窗,浙江
1367,金华,"120.107051,29.334642",义乌国际商贸城,浙江
1368,嘉兴,"120.581956,30.628419",嘉兴东湖,浙江
1369,温州,"120.016946,27.842599",百丈飞瀑,浙江
1370,温州,"120.283931,27.600803",南雁荡山东西洞景区,浙江
1371,金华,"120.181883,29.301466",东阳中国木雕城,浙江
1372,温州,"120.284761,27.764725",寨寮溪,浙江
1373,温州,"120.734917,28.336306",洞头岛景区,浙江
1374,杭州,"120.075449,30.171822",未来世界,浙江
1375,杭州,"120.050250,30.377667",良渚国家遗址公园,浙江
1376,衢州,"118.859457,28.970079",衢州小南海,浙江
1377,嘉兴,"120.949724,30.513750",海盐历史文化风景区,浙江
1378,舟山,"122.091347,30.108836",青青世界旅游区,浙江
1379,丽水,"119.197760,27.889160",黄茅尖,浙江
1380,嘉兴,"121.024059,30.701241",民俗风情馆,浙江
1381,温州,"120.750352,28.358544",苍坡溪门,浙江
1382,湖州,"119.659581,30.588912",春山收藏馆,浙江
1383,上饶,"118.120196,29.322736",婺源篁岭,江西
1384,南昌,"116.012048,28.370293",凤凰沟,江西
1385,宜春,"114.277973,27.690207",明月山天沐温泉,江西
1386,宜春,"115.360246,28.829498",靖安中部梦幻城,江西
1387,上饶,"116.678385,29.133927",鄱阳湖国家湿地公园,江西
1388,九江,"116.486513,29.809340",庐山西海（柘林湖）,江西
1389,景德镇,"117.581969,29.544485",瑶里,江西
1390,赣州,"114.406989,25.463604",丫山景区,江西
1391,赣州,"114.338617,25.566289",阳岭国家森林公园,江西
1392,景德镇,"117.215086,29.351681",浮梁古县衙,江西
1393,上饶,"117.756189,29.510709",大鄣山卧龙谷风景区,江西
1394,九江,"116.222805,29.743960",石钟山,江西
1395,上饶,"117.807652,29.341158",思溪延村,江西
1396,吉安,"114.178165,27.448591",安福武功山,江西
1397,上饶,"117.675499,28.091914",葛仙山,江西
1398,九江,"115.952858,29.559066",石门涧,江西
1399,萍乡,"113.852449,27.751364",杨岐山孽龙洞,江西
1400,九江,"115.929120,29.415973",庐山天沐温泉,江西
1401,新余,"114.791488,27.708227",仙女湖,江西
1402,上饶,"117.532294,29.323622",婺源鸳鸯湖,江西
1403,南昌,"115.956607,28.654462",天香园,江西
1404,萍乡,"114.147322,27.532564",武功山豪生温泉,江西
1405,景德镇,"117.262920,28.732919",怪石林,江西
1406,九江,"116.478925,29.682891",龙宫洞,江西
1407,上饶,"117.257659,28.706121",神龙宫,江西
1408,赣州,"116.366648,26.269431",通天寨景区,江西
1409,赣州,"115.740714,26.366163",三僚风水文化景区,江西
1410,九江,"115.902435,29.609581",中华贤母园,江西
1411,上饶,"117.620386,29.478907",灵岩洞,江西
1412,上饶,"117.257843,28.706093",稻源旅游度假区,江西
1413,赣州,"114.944539,24.844781",关西新围景区,江西
1414,上饶,"118.029672,29.492617",五龙源四季花谷景区,江西
1415,景德镇,"117.479478,29.031447",洪岩仙境风景区,江西
